Tweet	Label
soobin :( aku sedih peliharaan kesayangan ku mati. i can't stop crying. kmrn tiba2 g mau minum trs lemes jugak, klo ke dokter hewan jauh dr t4 tinggal ku. i can't lose her :( wht should i do :(	Sad
ayang aku yg ini lagi camping kali ya berdua sepi amat ayang	Sad
sepi amat mentang mentang sabtu	Sad
bgstt rambut berlawanan tp iya sedih soalnya nari kek ga tertarik sm chanyang huhu.	Sad
taktau tapi kecewa dengan diri sendiri .	Sad
jd sedih aq	Sad
kok ikutan sedih ya :(	Sad
bener sih di tempat ku kerja suka ada kakek2 udah tua bgt mata nya katarak jalan nya juga pelan banget kesusahan. dia mikul jualan tape dll kadang udah sore pun dagangan dia masih banyak. aku kadang nangis sendiri ini anak nya mana. serasa ngeliat ayah sendiri sedih banget.	Sad
rl ku sumpah messed up ku kira yg online udah fine fine aja jir. taunya.. ya udh kecewa bgt gk si	Sad
ko sedih banget diisi ciba biar ga kosong	Sad
gaada yang bikin gw seneng selain kabarnya jimin, sedih banget waktu berita sakitnya gw bner" kepikiran. sampe ga tenang buat tidur juga	Sad
sedih banget temen gue.	Sad
congratss nderr, mau bangett dong nderr, sedih bangett uda seneng keterima ternyata penipuan perusahaan gede lagi, mo nangis	Sad
pacarku baru aja diberhentikan dari kerjaanya, karena dari awal ga jujur tentang keinginannya. sedih banget, kasian mana cowo pula. udah ada niatan buat lamaran, tapi malah diberhentikan. semoga segera dapet pekerjaan baru	Sad
sedih	Sad
terimakasih banyak buat kak olaa yg buat karya sebagus ituu dan makasi buat rumi iyel yang selalu kerenn dan kadang menghiburr guaa dikala gua lg sedih, sekali lagi makasii banyakk loeve u kalian semuaa	Sad
kalo liat portofolio ijo tuh kaya ada kesenangan tersendiri, tapi giliran liat dompet kosong sedih lg anjir	Sad
sedih	Sad
iya juga¦ gak ada dia dunia tl sepi	Sad
ni ngetik sambil sedih apa gimana ni air mata ngucur mulu	Sad
aku suka gt nder kalo abis pake makeup dan aku kecewa kalo ampe putus kotorannya, sensasi gelinya gadapet	Sad
ya kann, selamat baca au yang sedih sedih dah	Sad
sumpah sedih	Sad
ada ya orang, jumat baru keluar rumah sakit. sore nya tiba2 "jatoh", jadinya sedih mulu sampe sekarang. tapi sabtu paginya udah disuruh kekampus sampe malem. alamat masuk rumah sakit lagi ini mah	Sad
sedih tp lucu tp sedih	Sad
aaaaa sedih banget	Sad
maauu, aku udh sebulan sepi banget :(( spes app prem	Sad
ini sepi bgtt.. pada di fb semua yakk, gw juga sih td bisa²nya bangun tidur yang dicek fb dulu	Sad
aku sedih ada anak biologi masi nanya, trs harus dgimanain ya buat tau kenanya omicron ato bukan?	Sad
mumpung masih sedih abis baca unspeakable mari kita lanjut 2ha biar makin makin sedihnya	Sad
sedih banget	Sad
sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya. maafin aku yaa pak, yang selalu nyusahin. semoga nanti bisa berkali-kali lipat buat bahagia ibu dan bapak	Sad
lebih aneh lagi yg hobi dengerin lagu2 sedih biar bisa sedih	Sad
sedih bgt pagi pagi..	Sad
sedih juga sih, sebenarnya mungkin mrk masih punya rasa bersalah maki2 ulama kcuali pki asli tp krn ekonomi sengaja di rontokkan, drpd mencuri di gebuk dan dibakar org sekampung, pdhl perut lapar smoga yg masih punya iman, cepat nyadar	Sad
kayanya sihh ga akan ada selca hari ini xixi penonton kecewa	Sad
nahan tangis gk enak bgt anjirr, ini lagi di sklh	Sad
ah aku sedih dengernya	Sad
lucu banget, yeseo! sayangnya gak punya tiktok, nih. (sedih)	Sad
denise suara muu hcuwbxja omg sedih si u keluar dari sc tp gpp ayokk banyak" up vid di yt and debut lg(?) wkwk	Sad
sedih tapi masih pagi	Sad
setuju, padal aku termasuk orang yg kepo bgt sama ayato pas tahu ayato ke leaks duluan jadi kek kecewa dan ga excited lagi sama ayato mending drip marketingnya dari mihoyo langsung..	Sad
hal yg sedih pagi ini adlh saat aku ngerasa kasian m diri sndr. saat sadar diri bnyk hal yg harus diperbaiki. saat sadar klo aku gak boleh terus²an kayak gini. saat aku harus lebih berani utk terima perubahan. saat aku harus menguatkan diri utk sekedar mencoba	Sad
sedih bangett dia dapetnya kacang garuda	Sad
makanya bersiap kecewa sama wakilnya sendiri..	Sad
twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais	Sad
aku sedih diputusin pacar, katanya aku udah gak tampan, gak mapan. aku harus bilang apa? “ akurapopo ¦	Sad
sepi btul, mending ke priv sj	Sad
sedih juga ya ninggalin rumah yg udh belasan tahun ditinggali :')	Sad
cr7: kenapa sedih banget tampaknya kau adekku? elanga: iya bang, mo gimana lagi ga sedih, lha wong abang kesayanganku, si bang anthony martial pergi. cr7: stress.	Sad
mimpi zombie, trus drama banget lah sedih gitu. akhirnya gja kegigit dan jadi zombie tapi zombie yang sadar gitu bisa ngendaliin diri. trus ada anak svt lupa siapa	Sad
ini saya tidak tau harus sedih atau tertawa. semangat mbarnim, semoga bisa kembali lagi hubungannya. ^^	Sad
karna rasa kecewa itu lebih besar dari pada rasa cinta:)	Sad
like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss	Sad
jangan sedih dong karina	Sad
sepi disini	Sad
iyaa ih sedih banget baru cek ternyata ga bisa	Sad
sedih si sebenernya tapi thank you denise sudah bekerja keras saat bersama semoga uri mm maknae lockey bisa sukses terus ya berkarir diluar sana ditunggu karya denise yang lainnya, dan musik yang denise suka bisa segera menjadi album ya	Sad
fun fact, menggaruk bagian gatal itu engga bikin gatalnya hilang, yang ada malah kulitnya iritasi. sama kayak kalo lagi patah hati lebih milih galau n dengerin lagu2 sedih. emang kitanya suka nyakitin diri sendiri ya kayaknya..	Sad
ig temen gw story nyh denise semua emang sedih tapi mau gimana lg ini udah keputusan dia,tetap dukung secret number n denise lockey .	Sad
sedih ku cukup aku yg tau,kamu cukup tau bahwa aku baik-baik saja.:')	Sad
baru bangun rumah dh sepi, gatau pada kemana jadi kesepian	Sad
ada apa ini.?..kok sepi banget. cc	Sad
woylah sedih bangett	Sad
may all goes well ya kakaak walaupun gitu-gitu aja like you said. oh iya stay safe and stay healthy soalnya kasus di sana udah mulai naik.. it™s concerning t . t i™m doing all fine kok, stress sedih dikit tapi gapapa aku kuat hihi :3	Sad
yahh sedih	Sad
ko sepi lgi yanc	Sad
tp kecewa bgt dia grgr aku gak ucapin	Sad
innalillahi wainna ilaihi rojiun semoga almarhumah ibu diterima amal baik nya dan diampuni segala kekhilafannya yang sabar ya jayen,pasti sangat sedih kehilangan orang tua.	Sad
masih sedih	Sad
kertas hiyo cakep banget, baru liat sekarang, itu udah dari tanggal 23 jan, sedih. ini hiyo beneran cantikk	Sad
bangun, ngumpulin nyawa, tiba-tiba ngerasa sedih.. "anak jepangku kemana ya?!" inilah gambaran pagiku selama dua minggu gada kabar dr tp harus ttp semangat! pasti bisa!	Sad
terbunuh sepi 8/10 bukan lagu boyband, tapi dibawain mereka jadi keren bgt dg harmonisasi yg wowow bikin mrinding, disini bener2 nunjukin kualitas vocal mereka sih	Sad
jgn gitu dong bang.. jadi sedih neh	Sad
sedih suffer kecewa	Sad
aku bingung mau sedih atau seneng i vote for for the at the :(	Sad
siapa yang merubah hatiku siapa yang membuat kita satu selalu menyatu beban kecewa namun tak kan ku kan berakhir	Sad
rumah sepi nihh	Sad
dibilang sedih ya pasti.. tp bagaimana pun harus terima dan dukung denise. gak mau lama2 sedihnya karena cewek2 ini juga butuh dukungan kita. lockeys kuat	Sad
hahaaha..sedih sgt ni fren. kongsi sama saya la boboy	Sad
sender jangan sedih, bisa jd nnt sender langsung diketemuin sama jodoh sender.	Sad
ternyata w belum jodoh juga sama kampus ini, sedih sih tapi gak sesedih pas w gagal kemaren. akhirnya w cepet cepet move on sambil nyari kampus negeri yg masih buka pendaftaran	Sad
heizou b5?? padahal udah bgarep bangey dia b4 sedih bnaegt	Sad
pagi² lagi da kena spam ending aot dengan demon slayer dekat tiktok murung weh sabtu ni	Sad
gue ga ngestan sn, tapi ikut sedih denise out dari grup semoga sukses terus ke depannya buat denise	Sad
iye elu yang disana. kok lu ganteng banget sih? maaf gabisa ngomong langsung :( sedih deh	Sad
sedih kalau diceritain mah	Sad
-kelemahan seorang lelaki yg apabila suami yg gak bisa sabar dengan kondisi perempuan. jika mandul, nikah lagi cari yg lain. jika di pukul atau di diskriminasi, diam tutup aib. jika nafsu muncul, penuhi. jangan sampai berkata tidak. sedih banget jadi perempuan-	Sad
tau ga si rasanya kecewa sama diri sendiri?? kaya yg "oh gua gagal lagi".	Sad
renang dari jam 10.30 - jam 2 karena seru bgt sepi + cuaca mendukung (mendung) pulang2 kaget hidung sm pipi merah kena sunburn sad bet	Sad
sedih banget, gua yg ngurusin segalanya gua yg gak ikut:((	Sad
kamu senang, aku pun senang. kamu sedih, aku ikut sedih. tapi. beda lg ya ceritanya kl kamu sedih pas putus sama dia. :™)	Sad
diam nder sy sedang kecewa berat	Sad
"zzullucia: kesian bgt td mau poto berempat itu bb gueseleborratu disusun buat ganjel hapenya nucil biar bs pake timer.. sedih tp agak lucu wkk	Sad
sedih drmn yak.. hmm	Sad
sangat kopong.. sedih kali lahh	Sad
dulu tak mampu hantar anak ke pengasuh kl: about rm1k first month sje. so trpkse berulang dr kg mak ke kl 2hr plus travel pegi balik. husband keje state lain. sedih weh igt balik	Sad
punya fb khusus hype mashiho tapi sepi anjr, giliran w up member lain rame. dah ku hapus. skrg mo buat lagi nyesel ngehapus	Sad
padahal de gea baru dapet penghargaan, udah dibuat sedih lagi sama tim tolol	Sad
sedih banget	Sad
12 tahun lebih bareng terus, gimana ga sedih pas ditinggalin	Sad
ikutan sedih, malah ikutan nangis pas dijauhi dan teman yg paling dekat	Sad
tau ga si kalo hari ini itu berasa kaya bahagia tapi sedih juga	Sad
orang orang di tiktok kok jahat banget sih :( padahal lockey lagi sedih kenapa terus aja di buat makin sedih heh :(. jahat banget	Sad
akun gue makin syepi sedih bener	Sad
haha iyaa meanwhile yg kumau tuh nendo.. nendo pls halo gsc sedih bgt or rerelease figure deh. apakek astaga..	Sad
sesaat sebelum lepas landaas, biasanya gk begitu sedih, kok skrg sedih..campur ngantuk juga	Sad
aku menjadikanmu sesempatnya tak seperti dulu yang selalu ada, adalah bentuk kecewa yang tak bisa ku ungkapkan, karena masih tersisa sedikit rasa yang menjadi pengalangnya. semoga bisa cepat hilang sepenuhnya.	Sad
liat mv teaser wonpil jadi galau ih, lagunya sedih kayaknya huhu	Sad
jujur ya gue gak pernah denger kabar mipa 3, beneran sepi itu kelas dan kayak angker gimana gitu	Sad
sedih sih karena video ini jadi banyak yg gak mau ke dokter perempuan. dokter² yang jaga di klinik tempat gue kerja kebanyakan perempuan dan semuanya detail jelasin penyebab keluhan pasien. mau pasien selama apapun cerita soal keluhan, tetep dijelasin sampe pasiennya ngerti.	Sad
ini kuota dari kampus ngga turun apa yak? sedih amat duit habis buat beli kuota doang	Sad
baru kali ini bangun tidur dari kosan merasa sepi, padahal biasanya dibangunin si mirza, "ran, tangi kelas esuk/apel"	Sad
ngelamar kerja bedua yg keterima dia doang ya wajar sih tp gak tau kenapa sedih aja gitu.	Sad
mendekap sepi di sudut sunyi. menyimpul tali mengikat diksi. menggapai rindu tercabik pilu. hatiku selalu terukir namamu ilu	Sad
udah lama ga denger suara denise. jadi pas dia ngecover lagu day6 sedih gue jdi +++++	Sad
yellow iya pas sedih wkwk viva la vida ga terlalu sii	Sad
wajar sih, disini yg kelahiran 98 terus baru masuk sma dan langsung pake kurikulum 2013 sedih karena gw ga bisa show up skill gw di bidang komputer sama temen kelas yg lain. padahal gw anak warnet bngt	Sad
eh asli sedih bgtt padahal debutnya juga belum lama, mana suara dia paling bagus di sn	Sad
yah kecewa dak do stiker nyo lagi	Sad
aamiin selamat pagii juga kak sedih , hasil draw gk ada yg nyangkut	Sad
ya allah sampe ke bawa mimpi ceritanya di gedor sama salah satu host, terus salah bales dm eh ga jadi menang. sedih sedih bangun2 langsung nyesek karna mimpi	Sad
ada aja berita sedih dan skrg syukur ada berita seneng. sehat' trs kak ji	Sad
kamu kenapa ? | aku (kecewa, sakit, cemburu, nyesek , kangen , galau , pengen kamu peka , pengen nangis) gak papa kok. :')	Sad
sedih bgt gk sii	Sad
mesti cr muram durja birthday dia harini	Sad
gimana si caranya biar bigwin? cpk bgt astaga, gapernah menang sedih bgt, sebernya rada iri sama yg bisa bigwin	Sad
sedih ya wak	Sad
terkadang, tidak peduli berapa banyak orang di sekitarmu, kamu merasa sepi. hanya karena kamu berharap dia yang kamu cinta ada di sisi karna kamu sangat menyayangi dirinya	Sad
huhuu sedih gak sih, sorry ya gw harus isoman 2 minggu keknya	Sad
iya aku liat ini di berita sedih banget bapak e nangis	Sad
sedih amat pagi pagi	Sad
br nntn bulgasal dan yg episod joon nusuk wooseok kesel tp lebih pengen nangis liatnya... sedih huhu	Sad
sampe pagi ini masih nempel suara denise cover day6 ini di kepala..antara masih msih kagum dan sedih karna dia salah satu orng yg bikin ku tertarik ke kpop karna headvoice dan range vocal dia bagus bgt:'(	Sad
karna gue sedih karna hyunho gue harus bikin au fluffy. yook little blessing markitabuat	Sad
sedih bgt liatnyaa jd ikutan nangis	Sad
sedih sihh tapi yaa mau gmana lagi bukan kita tokoh utamanya	Sad
hypeask! album da wv 1press kalian yg waktu itu "shipsoon", skrg statusnya gimana? tolong jangan dianggurin,sender sedih bngt yg udah dirumah,nyampe ina dll jngn rep ya:'(	Sad
iya, mnrutku jg sii design nya dah bagus. bnyak yg mau nya baju nya pkai kimono gtu, kaya tradi bgt n kecewa knp kya western-ish bgt. tp sbnrnya gak jg, masih khas jp. gak smua chara jp harus se tradi raiden dkk design nya.	Sad
kadangkala dirimu berhenti memberikan sebuah perhatian pada seseorang hanya untuk menyadarkannya akan ketidakhadiranmu akan membuatnya sepi.	Sad
sedih belum dapatin wl prio tapi udah mau rest aja :(	Sad
ch 125-126 sedih bgt	Sad
kalau sepi pasien ya gini.. agak bosan jadinya	Sad
ini kalo ga ada yang kelas, sepi dong	Sad
kebanyakan orang dengerin lagu" kaya gini yaa salah satunya utopia inget kenang perjalanan cinta mereka tp gw gak gitu, suatu lirik dapat mewakili strategi sebuah korporasi ada lagu yg buat gw sedih saat dengar yaitu "toxicity" (sod), slalu teringat almarhum teman udahh ah	Sad
makasih yoongi udah bikin jumpalitan semalam dahal lg sedih, hush sedih pergi hush hush	Sad
adakah apabila takdir ku sampai..allah ambil nyawa ku..akan ramai yang sedih dengan kepemergianku, adakah ramai yang akan mahu mandikan jenazahku..adakah ramai yang akan mengangkat jenazah ku..adakah ramai yang akan mendoakan ku..aku risau..dan kerana risau aku bersedih..	Sad
and hujung 2020, dah cakap dengan diri i, i try tinder for one month je. jumpa 4 orang. 1 laki orang, 1 **, and another two last choice bila i nak delete tinder sbb dah kecewa teruk dgn dua orang tu td. so yg last ni i got their number at the very last minute before i delete	Sad
mau merem bentar 30 menit malah jd kebawa mimpi ga enak sedih pol blm ikhlas bgt ternyata	Sad
hah serius out? gua ga ngikutin sn sih cuma kan yg gua tau mereka baru tp sedih aja ko udah ada yg out	Sad
sedih ngga sih,harus dengar hal yang kaya nya kalo di denger bikin ovt,sedih dan yang lainnya:)	Sad
tapi sedih juga karena yg aku pikir selama ini dia baik2 aja ternyata mikir kayak gitu :(	Sad
sedih bacanya.. tapi gak apa.. terima kasih ya denise	Sad
sedih banget jadi luvies miskin gak bisa bela member langsung di saat kayak gini :(	Sad
udah gak mood mau unboxing paket shopee, keburu sedih deluan hehe	Sad
denise sayangkuu gw udah ngira bakal begini endingnya tapi tetep aja gw sedih bgt	Sad
semuanya sih, termasuk denise juga sedih juga harus ninggalin kakak-kakaknya	Sad
om gal ak sedih	Sad
aihh banyak yg bilang gitu, tapi banyak yg kecewa juga setelah nyubit pipi akuu, pipi aku ga ada isinyaa	Sad
pepagi lagi airmata mengalir. sedih aku.	Sad
tak masuk skuad barcelona untuk liga europa, dani alves kecewa berat “ bolanet “ arenanews	Sad
sedih banget onlen lagi	Sad
gapapa beli skinnya dulu orangnya dateng nanti gapapa, tapi tetep aja sedih banget anjing¼¼ arghhhh mo nangis	Sad
syok sedih bgt	Sad
pas lewat jg kaget banget, gini banget deh netizen indo sempet record saking kagetnya. beda banget sama komen orang luar. orang tua nya kalo liat terus ditranslate pasti sedih banget	Sad
sedih banget kan	Sad
sedih* typo	Sad
aku sedih pih? hehe. mau nangis..	Sad
tiap denger lagu kukira kau rumah jadi sedih banget, soalnya punya arti yg beda skrg. liat cuplikan filmnya di fyp juga sedih.	Sad
sedih bangat kamu selalu di cuekin warga	Sad
sepi soalnya berkurang kegiatan makan dan minum	Sad
gimana damai dengan rasa kecewa. gimana.	Sad
semalem mimpi orang yang udah lama ga kontakan tiba tiba ngirim pesan, tapi pas bangun nge cek ternyata gada notif apa apa, itu sedih banget :((	Sad
sunyi ya gak ada rame nya dan gak ada yang datang.. omicron nya.. bikin kesepian melara	Sad
jibe kajjaa beneran sekacau itu dan bikin mewek sedih bangwt	Sad
full sedih mazzehh	Sad
please sedih bangett	Sad
ala.. alaa.. alaa.. murung kejap hahahha	Sad
mau genre apapun, kalo ceritanya bikin sedih aku pasti nangis. ini tadi aku nangisin zombie di all of us are dead :)	Sad
.. kok sedih	Sad
ini gamesnya, bisa menang lawan para "oligarki" arang, tp tetep sedih, karena mereka tetep berjaya..	Sad
bahkan dalam fisik terluka dan bathin yang sakit, ia masih bisa berkata 'aku masih sayang kamu'. tapi engkau malah memilih untuk pergi. apa hendak dikata sesal tiada arti jika sudah di akhir.	Sad
banyak fans tersakiti. entah dr bws atau shipper main couple di series. posisi win sama female lead di series baru jg jadi serba salah. mereka mau deket ke bright nanti dihujat, gak deket dibilang gak ada momen dan itu jg ngebuat fans kecewa.	Sad
bangun tidur denger dua kabar ga enakin tuh sedih bgt.	Sad
haha sepi tanpa purwakarta tapi gpp :v	Sad
apapun group nya walau aku ga stan mereka, kalo ada yg keluar atau bubar rasa nya sedih bgt	Sad
mau nntn biar gk sedih krna di ghosting :)	Sad
non fan tapi ikutan sedih baca sudat denise	Sad
sepi banget, bikin sedih	Sad
sedih kiraiin lemburan ampe malem dibayar ternyata kaga	Sad
sedih njay. makin susah nakes nakes puskesmas, vaksin booster sampe turun ke rumah rumah bawa tni-polri, tracing kasus baru dibilang dicovidkan.. jawaban mereka sama "covid itu ga ada!" kehilangan sosok contoh rakyat ini.	Sad
aa sedih bgt progja udah selesai semuaa hwaa gamau udahan kkn-nya	Sad
akun baru sepi amat :(	Sad
yakan! sedih banget bayanginnya	Sad
ada sunyi di antara pagi dan aku; kamu	Sad
kemarin dia follow akun gue pake yg satunya tpi dm gue ga dibales setan, sedih	Sad
kuota aku abis hm sedih	Sad
dia macam sedih / strees sbb xde duit tau. tah la	Sad
kusut je pagi-pagi gelak macam takda hari esok	Sad
ya allah liat ini nanges sedih tapi mau ngakak di saat bersamaan huhuhuhuhu	Sad
awalnya nemunya random dan cuma sekedar suka sama style dan tone warna yang dipake, sekarang tiap liat hasil karyanya berasa nano nano sedih iya tapi berasa anget kek dipeluk dipukpuk	Sad
disini sepi bgt knp ya	Sad
udh lama ga on tl gua jdi sepi mengecewakan	Sad
plis author masa gak mau bikin yang mature version. sedih	Sad
iyaa sedih bgt padahal aku suka dia bgt di sn:((	Sad
agak sedih tp sy lega bye	Sad
ngeliat barang2 udah hampir kosong makin sedih -_-	Sad
work! hari ini last day, aku resign. sedih bgt pisah sm temen tp satu sisi bebas dari bos toxic. nekat sebenernya resign duluan blm dapet pengganti tp udh gakuat sm bos toxic	Sad
:" w sedih bgt kalo smpe gjdi	Sad
dugaan loni takdok ore kijo. mari kijo sari pastu tkse dah. banyak doh ore kijo hk mari tp tk lekat. allahu sedih nya. gano nk tinggal ma nati. tu sebab sapa loni tk gi kijo mana mana. sobs	Sad
ini ig lg rame pap foto ayang wkwkw terus jd tau deh bias2 temenku ini siapa aja soalnya pd ngepost foto oppa2 gt kan. terpantau gaada yg bias winner nih gmn kecewa	Sad
lu sedih gak? gue sih iya	Sad
sedih bgt pas di tempat fc lek2nya masi nulisin "menerim isi lagu2" ;( lek2nya udh tua gitu	Sad
saya sangat kecewa banget kl sampai ngak jadi murtad loh¦ krn sepak terjangnya selama ini kan ?	Sad
kecewa dengan semalam harini mulakan dengan 3 pointers	Sad
anjirr nangis beneran lihatnya perpisahan tu napa selalu bikin sedih si :')	Sad
kalo dipikir pikir serem juga ya kalau semua orang bisa meraih mimpi mereka. kan siapa tau mimpinya jadi kek pol pot atau siapa gitu alias nyusahin banyak orang. tapi ya sedih juga kalau ternyata kita lah yang gabisa meraih mimpi itu. tapi ya gimana lagi yekan.	Sad
abis baca cerita yg makin kesini makin sedih dan aku terus curhat ke seseorang nangis parah dong gue haha	Sad
kecewa rage wi	Sad
tiap pagi sedih :)	Sad
sedih	Sad
sedih bahh wkwkw	Sad
aku tidak menangis karena sedih, ini hanya karena angin yang membuat mataku berair “ i miss u	Sad
ya sedih krna makanan cukup buat sehari satu org nag	Sad
sedih sih tp yaudalah hhe	Sad
sedih bangett :(	Sad
sedih aingg	Sad
eh gue ikutan sedih denise keluar :/	Sad
fak gue sedih bgt	Sad
